Year (year),State Name (state_name),State Code (state_code),District Name (district_name),District Code (district_code),Block Name (block_name),Block Code (block_code),Village Name (village_name),Village Code (village_code),Nutrient Type (nutrient_type),Nutrient Name (nutrient_name),Nutrient Level (nutrient_level),Value (value)
"2024-25","Rajasthan","8","Jaipur","102","Shahpura","695","Raopura","79287","Macro","Electrical Conductivity","Non Saline",2
"2023-24","Himachal Pradesh","2","Kinnaur","19","Pooh","167","Khabo (32/1)","26829","Macro","Nitrogen","Low",1
"2024-25","Bihar","10","Saran","218","Nagra","2073","Chainpur","233743","Micro","Sulphur","Sufficient",13
"2024-25","Bihar","10","Rohtas","215","Kargahar","2017","Delhua","251762","Micro","Copper","Deficient",0
"2024-25","Maharashtra","27","Hingoli","477","Hingoli","4393","Bondala","545854","Micro","Sulphur","Sufficient",23
"2024-25","Madhya Pradesh","23","Dhar","403","Sardarpur","3826","Semalya","474658","Micro","Sulphur","Sufficient",3
"2024-25","Odisha","21","Cuttack","350","Niali","3341","Gobindapada","400318","Macro","Potassium","High",0
"2023-24","Andhra Pradesh","28","Ntr","749","Gampalagudem","5108","Gosaveedu","588949","Micro","Iron","Deficient",16
"2023-24","West Bengal","19","North 24 Parganas","303","Swarupnagar","2744","Damhati","322783","Macro","Organic Carbon","High",12
"2024-25","Bihar","10","Buxar","194","Rajpur","1712","Deyalpur","248584","Macro","Organic Carbon","Medium",1
"2024-25","Bihar","10","Vaishali","224","Vaishali","2152","Chak Moinuddin Urf Chak Munni","234688","Macro","Electrical Conductivity","Non Saline",22
"2023-24","Maharashtra","27","Raigad","491","Uran","4539","Vindhane","553324","Macro","Potassium","Low",0
"2023-24","Gujarat","24","Kachchh","449","Abdasa","4146","Karodiya Mota","507191","Micro","Boron","Sufficient",6
"2024-25","Odisha","21","Bargarh","347","Bargarh","3312","Ambasadha","380606","Macro","Nitrogen","Medium",5
"2024-25","Rajasthan","8","Hanumangarh","101","Hanumangarh","682","10 Md-C","67863","Macro","Nitrogen","Low",0
"2024-25","Madhya Pradesh","23","Gwalior","407","Morar","3851","Khargu Kheda","453933","Micro","Iron","Deficient",1
"2024-25","Maharashtra","27","Pune","490","Khed","4518","Bahul","555845","Macro","Phosphorus","Low",0
"2024-25","Rajasthan","8","Tonk","116","Uniara","791","Maharaj Pura","93588","Micro","Boron","Sufficient",0
"2024-25","Madhya Pradesh","23","Dindori","404","Amarpur","3829","Alauni Ryt.","492066","Macro","Phosphorus","Low",22
"2023-24","Haryana","6","Karnal","67","Indri","513","Manak Majra (41)","59130","Macro","Electrical Conductivity","Saline",0
"2023-24","Rajasthan","8","Banswara","88","Arthuna","6827","Timruwa","98869","Macro","Phosphorus","Medium",5
"2024-25","Gujarat","24","Surat","459","Kamrej","4234","Machhi","524108","Macro","Potassium","Medium",6
"2024-25","West Bengal","19","Birbhum","307","Mayureswar-I","2832","Idrakpur","316603","Macro","Potassium","Medium",20
"2024-25","Jammu And Kashmir","1","Doda","4","Doda","43","Jodhpur","4169","Macro","Organic Carbon","Medium",22
"2023-24","West Bengal","19","Paschim Medinipur","318","Kharagpur-I","2991","Charipal","341618","Micro","Copper","Deficient",0
"2024-25","Karnataka","29","Chitradurga","533","Chitradurga","5810","Pallavagere","605575","Macro","Nitrogen","Medium",0
"2024-25","Bihar","10","Bhagalpur","192","Goradih","1676","Tahbalpur","239930","Macro","Nitrogen","Low",9
"2024-25","Rajasthan","8","Balotra","775","Kalyanpur","6825","Araba Dudawatan","87510","Micro","Zinc","Sufficient",0
"2024-25","Rajasthan","8","Hanumangarh","101","Nohar","683","Ratusar","68788","Macro","Nitrogen","Low",0
"2024-25","Tamil Nadu","33","Tiruchirappalli","591","Turaiyur","6381","Veeramachanpatti","635803","Micro","Iron","Sufficient",24
"2024-25","Tamil Nadu","33","Krishnagiri","577","Kaveripattinam","6207","Kudimenahalli","644138","Macro","Nitrogen","High",0
"2023-24","Gujarat","24","Sabar Kantha","458","Vadali","4230","Math Bhojayat","510000","Micro","Boron","Deficient",8
"2024-25","Andhra Pradesh","28","Kakinada","746","Sankhavaram","4914","Rajaram","587045","Macro","Phosphorus","Low",0
"2024-25","Tamil Nadu","33","Thanjavur","586","Pattukkottai","6326","Kondikulam","639042","Micro","Boron","Sufficient",40
"2024-25","Rajasthan","8","Tonk","116","Tonk","790","Yusufganj @ Ramnagar","93073","Micro","Zinc","Sufficient",10
"2024-25","Assam","18","Darrang","283","Bechimari","2523","Bargara Bagisa","947618","Micro","Boron","Deficient",16
"2023-24","Jammu And Kashmir","1","Baramulla","3","Rohama","29","Rohama","2300","Micro","Iron","Deficient",5
"2024-25","Andhra Pradesh","28","Sri Sathya Sai","754","Dharmavaram","4700","Pothulanagepalle","595160","Micro","Manganese","Deficient",0
"2024-25","Rajasthan","8","Churu","96","Rajgarh","655","Mahlana Dikhnada","70128","Macro","Potassium","Low",0
"2024-25","Rajasthan","8","Sawai Madhopur","113","Sawai Madhopur","772","Khat Kalan","77610","Macro","Potassium","Medium",6
"2024-25","Madhya Pradesh","23","Rewa","424","Sirmour","3961","Hatawa","465527","Micro","Manganese","Sufficient",58
"2024-25","West Bengal","19","Paschim Medinipur","318","Garbeta-I","2981","Gopalsol","336962","Macro","Phosphorus","High",8
"2024-25","Bihar","10","Kishanganj","203","Kochadhaman","1824","Boaldah","222874","Macro","Nitrogen","High",0
"2024-25","Tamil Nadu","33","Ramanathapuram","583","Kamudi","6279","Musittaikurichi","642030","Micro","Iron","Sufficient",3
"2023-24","Rajasthan","8","Pratapgarh","629","Dhariawad","794","Shivpuri","107920","Micro","Copper","Deficient",0
"2024-25","Odisha","21","Angul","344","Kishorenagar","3281","Ranibhuin","404547","Macro","Soil Ph","Alkaline",0
"2024-25","Bihar","10","Katihar","201","Pranpur","1812","Dharhan","225363","Micro","Boron","Deficient",1
"2023-24","Haryana","6","Ambala","58","Shahzadpur","452","Rajauli (288)","57212","Macro","Potassium","Low",196
"2024-25","Odisha","21","Sundargarh","373","Bonaigarh","3576","Badgogua","385192","Macro","Organic Carbon","High",4
"2024-25","Bihar","10","Muzaffarpur","208","Sakra","1892","Mahammadpur Banwari","229670","Micro","Copper","Deficient",0
"2023-24","Gujarat","24","Porbandar","456","Porbandar","4203","Natvarnagar","514187","Macro","Nitrogen","High",0
"2024-25","Gujarat","24","Panch Mahals","454","Kalol","4189","Mokal","518653","Micro","Zinc","Deficient",14
"2023-24","Gujarat","24","Banas Kantha","441","Deesa","4083","Chhatrala","508367","Macro","Nitrogen","Medium",2
"2024-25","Odisha","21","Dhenkanal","352","Bhuban","3349","Kansaragoda","402539","Micro","Iron","Deficient",0
"2023-24","Maharashtra","27","Raigad","491","Alibag","4525","Gavkhar","554060","Micro","Manganese","Deficient",0
"2024-25","Maharashtra","27","Jalgaon","478","Chalisgaon","4400","Mandurne","527823","Micro","Boron","Sufficient",19
"2024-25","Karnataka","29","Vijayanagara","738","Kottur","7376","Hosa Kodihalli","605059","Micro","Copper","Sufficient",36
"2024-25","Jharkhand","20","Gumla","331","Dumri","3155","Kanji","376165","Macro","Phosphorus","Medium",14
"2024-25","Madhya Pradesh","23","Narsimhapur","418","Kareli","3924","Gobargaon","491379","Macro","Phosphorus","High",12
"2024-25","Maharashtra","27","Solapur","496","Mohol","4584","Diksal","562235","Macro","Organic Carbon","High",5
"2023-24","Madhya Pradesh","23","Barwani","393","Thikri","3760","Deola","478220","Macro","Potassium","Medium",1
"2023-24","Rajasthan","8","Ganganagar","100","Gharsana","6719","11 Dol-B","66050","Macro","Potassium","Medium",0
"2024-25","Rajasthan","8","Dausa","97","Dausa","661","Neem Ka Pada","926380","Micro","Copper","Deficient",0
"2024-25","Jharkhand","20","Bokaro","322","Nawadih","3070","Birni","362255","Micro","Sulphur","Sufficient",1
"2023-24","Madhya Pradesh","23","Sagar","425","Bina","3964","Mohansa","459589","Micro","Boron","Deficient",0
"2023-24","West Bengal","19","Paschim Medinipur","318","Dantan-I","2976","Urisal","343827","Macro","Organic Carbon","Low",12
"2023-24","Gujarat","24","Kachchh","449","Rapar","4155","Kalyanpar","506559","Macro","Organic Carbon","Medium",9
"2023-24","Maharashtra","27","Kolhapur","480","Hatkanangale","4424","Korochi","567319","Macro","Phosphorus","Low",1
"2024-25","Andhra Pradesh","28","Vizianagaram","521","Vepada","5655","Pedagudipala","583013","Macro","Potassium","Medium",0
"2023-24","Maharashtra","27","Buldhana","472","D. Raja","4341","Jambhora","529379","Micro","Boron","Deficient",0
"2023-24","Madhya Pradesh","23","Agar-Malwa","667","Barod","4001","Dhodhar","472374","Micro","Manganese","Deficient",0
"2024-25","Odisha","21","Kandhamal","359","G.Udayagiri","3425","Raikala","415822","Macro","Phosphorus","High",0
"2023-24","Jharkhand","20","Deoghar","324","Sarwan","3089","Dahua","353900","Macro","Phosphorus","High",0
"2024-25","Madhya Pradesh","23","Mandsaur","416","Malhargarh","3911","Sudwas","469294","Micro","Sulphur","Deficient",3
"2024-25","Gujarat","24","Mahisagar","669","Santrampur","4193","Ora","518130","Micro","Zinc","Sufficient",26
"2023-24","West Bengal","19","Birbhum","307","Rajnagar","2840","Tabadumra","316931","Macro","Potassium","High",2
"2024-25","Maharashtra","27","Pune","490","Khed","4518","Kharpudi Kh.","555800","Macro","Phosphorus","High",5
"2024-25","Bihar","10","Khagaria","202","Alauli","1814","Budhaura","238572","Macro","Soil Ph","Neutral",27
"2024-25","West Bengal","19","Purba Bardhaman","306","Kalna Ii","2807","Kumarpara","320539","Macro","Phosphorus","Low",0
"2024-25","Odisha","21","Ganjam","354","Digapahandi","3372","Chaitanyaprasad","412948","Micro","Manganese","Sufficient",17
"2024-25","Jharkhand","20","Saraikela Kharsawan","341","Chandil","3246","Urmal","378765","Macro","Potassium","Medium",8
"2023-24","Rajasthan","8","Bhilwara","92","Mandalgarh","626","Gariyan","96245","Macro","Electrical Conductivity","Saline",0
"2024-25","Rajasthan","8","Jhunjhunu","106","Nawalgarh","718","Nawalgarh","926285","Macro","Potassium","Low",0
"2023-24","West Bengal","19","Murshidabad","319","Raghunathganj-Ii","3020","Babupur","314126","Macro","Soil Ph","Neutral",16
"2024-25","West Bengal","19","Paschim Medinipur","318","Pingla","2997","Khanbi Chak","342675","Micro","Zinc","Sufficient",1
"2024-25","Madhya Pradesh","23","Guna","406","Bamori","3844","Gudha","499090","Macro","Nitrogen","Low",22
"2023-24","Andhra Pradesh","28","Alluri Sitharama Raju","745","Gangavaram","4876","Komaravaram","587086","Macro","Soil Ph","Alkaline",0
"2024-25","Jharkhand","20","Garhwa","328","Ramkanda","3128","Nawadih","347917","Micro","Iron","Sufficient",2
"2024-25","Odisha","21","Mayurbhanj","365","Kuliana","3500","Badbhaliadiha","389275","Macro","Phosphorus","Medium",0
"2024-25","West Bengal","19","Paschim Medinipur","318","Daspur-Ii","2979","Kashiyara","338029","Micro","Copper","Sufficient",16
"2024-25","Tamil Nadu","33","Theni","588","Chinnamanur","6340","Veppampatti","641117","Macro","Organic Carbon","Medium",0
"2023-24","West Bengal","19","Murshidabad","319","Domkal","3009","Char Salikadaha","314705","Macro","Nitrogen","Low",0
"2024-25","Maharashtra","27","Wardha","498","Seloo","4610","Wadgaon (Jangli)","533975","Micro","Copper","Sufficient",2
"2024-25","West Bengal","19","Nadia","320","Nakashipara","3038","Chak Madandanga","321434","Macro","Soil Ph","Alkaline",0
"2023-24","West Bengal","19","Birbhum","307","Sainthia","2843","Paschim Sahapur","317354","Macro","Soil Ph","Alkaline",0
"2024-25","Assam","18","Dhubri","285","Nayeralga","2560","Gutipara Pt.Iii","281083","Micro","Iron","Deficient",18
"2023-24","Chhattisgarh","22","Korba","383","Kartala","3669","Makundpur","436461","Micro","Iron","Deficient",0
"2024-25","Andhra Pradesh","28","Eluru","748","Chintalapudi","5714","Ponukumadu","587951","Micro","Copper","Deficient",0
"2024-25","Andhra Pradesh","28","Y.S.R. Kadapa","504","Simhadripuram","4854","Chavvaripalle","593181","Macro","Phosphorus","Medium",5
"2024-25","Gujarat","24","Amreli","439","Dhari","4063","Garamali Moti","515702","Micro","Iron","Sufficient",15
"2024-25","Punjab","3","Amritsar","27","Jandiala Guru","216","Jand (150)","37562","Macro","Nitrogen","Medium",0
"2023-24","Andhra Pradesh","28","Ntr","749","Veerullapadu","5144","Ramapuram","588904","Macro","Organic Carbon","High",2
"2024-25","Bihar","10","Kaimur (Bhabua)","200","Bhabua","1788","Paiyan","250172","Micro","Copper","Sufficient",6
"2024-25","Odisha","21","Bargarh","347","Bargarh","3312","Ulba","380617","Macro","Phosphorus","High",88
"2023-24","Gujarat","24","Bhavnagar","443","Gariadhar","4102","Sarambhada","516457","Macro","Potassium","High",8
"2024-25","Bihar","10","Purbi Champaran","213","Bankatwa","1972","Jitpur","217764","Macro","Phosphorus","High",0
"2024-25","Karnataka","29","Mandya","544","Shrirangapattana","5885","Garakahalli","614269","Macro","Nitrogen","Low",131
"2023-24","Punjab","3","Faridkot","29","Faridkot","234","Machaki Khurd (57)","35528","Micro","Boron","Sufficient",0
"2023-24","Madhya Pradesh","23","Ujjain","435","Badnagar","4033","Likhoda","472060","Micro","Zinc","Deficient",1
"2024-25","West Bengal","19","Nadia","320","Tehatta-I","3042","Nishchintapur","321207","Macro","Nitrogen","Low",35
"2024-25","Madhya Pradesh","23","Tikamgarh","434","Jatara","4028","Varana Khas","456726","Micro","Copper","Deficient",0
"2023-24","Maharashtra","27","Gadchiroli","475","Aheri","4371","Mahagaon Kh","539838","Macro","Potassium","Medium",78
"2023-24","West Bengal","19","South 24 Parganas","304","Magra Hat-Ii","2765","Dihi Kalas (Ct)","334102","Micro","Manganese","Sufficient",68
"2024-25","Gujarat","24","Ahmedabad","438","Dholka","4055","Saragvala","511758","Macro","Organic Carbon","Medium",14
"2023-24","West Bengal","19","Murshidabad","319","Raghunathganj-Ii","3020","Dighir Pahar","314125","Macro","Organic Carbon","High",3
"2024-25","Odisha","21","Sundargarh","373","Lephripara","3584","Beheramal","383685","Micro","Boron","Sufficient",1
"2024-25","Bihar","10","Arwal","611","Kurtha","6509","Ahmadpur Harna","260908","Macro","Nitrogen","Medium",13
"2023-24","West Bengal","19","North 24 Parganas","303","Barrackpur-Ii","2729","Nabharanda","323123","Micro","Sulphur","Deficient",5
"2023-24","West Bengal","19","Paschim Bardhaman","704","Salanpur","2826","Uttar Rampur","318504","Micro","Copper","Sufficient",8
"2023-24","Madhya Pradesh","23","Anuppur","390","Anuppur","3736","Bhad","501839","Macro","Electrical Conductivity","Saline",0
"2023-24","West Bengal","19","Purulia","321","Puncha","3058","Lakhra","331099","Macro","Nitrogen","Low",0
"2024-25","Odisha","21","Bargarh","347","Padampur","3319","Arjunnagar","379934","Macro","Nitrogen","Medium",0
"2024-25","Madhya Pradesh","23","Agar-Malwa","667","Susner","4007","Jeewapura","472171","Macro","Nitrogen","High",0
"2024-25","Madhya Pradesh","23","Shahdol","429","Beohari","3995","Bara Baghelaha","500894","Micro","Boron","Sufficient",53
"2024-25","Madhya Pradesh","23","Jabalpur","411","Jabalpur","3866","Harrai","489882","Macro","Potassium","High",1
"2023-24","West Bengal","19","Uttar Dinajpur","311","Islampur","2882","Nachankula","308995","Macro","Potassium","Low",0
"2024-25","Odisha","21","Gajapati","353","Kasinagar","3359","Chandrayapetta","414517","Macro","Soil Ph","Acidic",0
"2024-25","Madhya Pradesh","23","Katni","413","Badwara","3885","Banahra","488354","Micro","Sulphur","Sufficient",8
"2023-24","Rajasthan","8","Jodhpur","107","Bawadi","6718","Lawera Khurd","84763","Macro","Soil Ph","Neutral",0
"2024-25","Bihar","10","Aurangabad","189","Obra","1642","Ekauna","253328","Macro","Organic Carbon","Low",2
"2024-25","Madhya Pradesh","23","Sagar","425","Bina","3964","Dudhawani","459578","Macro","Nitrogen","High",0
"2024-25","Tamil Nadu","33","Chengalpattu","730","St.Thomas Mount","6183","Chittlapakkam","932830","Micro","Sulphur","Sufficient",2
"2024-25","Bihar","10","Madhubani","206","Bisfi","1852","Tisi Narsam","220360","Micro","Zinc","Sufficient",49
"2023-24","Gujarat","24","Navsari","453","Jalalpore","4181","Asana","522926","Macro","Phosphorus","Low",0
"2023-24","Tamil Nadu","33","Ranipet","731","Arcot","6436","Sathur","630696","Macro","Organic Carbon","Medium",15
"2024-25","Andhra Pradesh","28","Vizianagaram","521","Nellimarla","5646","Atmaramuni Agraharam","583147","Macro","Soil Ph","Acidic",0
"2024-25","Madhya Pradesh","23","Ashoknagar","391","Chanderi","3741","Hasari","500183","Micro","Boron","Deficient",18
"2023-24","West Bengal","19","Purulia","321","Hura","3049","Keshargarh","330855","Macro","Potassium","Medium",21
"2024-25","Maharashtra","27","Ahilyanagar","466","Shevgaon","4288","Madke","557891","Micro","Copper","Sufficient",5
"2024-25","Bihar","10","Darbhanga","195","Singhwara","1730","Bisaul","226857","Macro","Nitrogen","Low",7
"2024-25","Madhya Pradesh","23","Ashoknagar","391","Mungaoli","3743","Pipriya Malhargarh","500732","Macro","Potassium","Medium",4
"2024-25","Madhya Pradesh","23","Jabalpur","411","Jabalpur","3866","Diya Kheda","489859","Micro","Boron","Deficient",2
"2024-25","Odisha","21","Sundargarh","373","Subdega","3587","Dainidihi","383848","Micro","Boron","Sufficient",9
"2024-25","Bihar","10","Araria","188","Forbesganj","1626","Samaul","221580","Micro","Iron","Sufficient",13
"2024-25","Gujarat","24","Sabar Kantha","458","Himatnagar","4222","Agiyol","510553","Macro","Electrical Conductivity","Saline",0
"2023-24","Madhya Pradesh","23","Vidisha","437","Nateran","4046","Boodhar","481481","Macro","Potassium","Low",0
"2024-25","Karnataka","29","Chitradurga","533","Hiriyur","5811","Halumadenahalli","606196","Macro","Organic Carbon","Low",26
"2024-25","Gujarat","24","Mahisagar","669","Lunawada","4191","Jamana Muvada","518332","Macro","Potassium","Low",0
"2024-25","Gujarat","24","Ahmedabad","438","Dhandhuka","4054","Pipal","511917","Macro","Electrical Conductivity","Non Saline",35
"2023-24","Madhya Pradesh","23","Seoni","428","Lakhnadon","3993","Kondra Mal","495738","Macro","Soil Ph","Alkaline",0
"2023-24","Madhya Pradesh","23","Raisen","421","Sanchi","3939","Semra Kadeem","483818","Macro","Organic Carbon","High",2
"2024-25","Madhya Pradesh","23","Dindori","404","Amarpur","3829","Bhaganwara Ryt.","492089","Macro","Soil Ph","Neutral",64
"2023-24","West Bengal","19","Purulia","321","Purulia-Ii","3060","Chepra","329975","Macro","Nitrogen","High",0
"2023-24","Jharkhand","20","Saraikela Kharsawan","341","Kukru","6652","Datam","378987","Micro","Copper","Sufficient",19
"2024-25","Jharkhand","20","Lohardaga","336","Kuru","3195","Jilinga","363030","Micro","Sulphur","Sufficient",4
"2024-25","Maharashtra","27","Parbhani","489","Sonpeth","4510","Dighol Islampur","546945","Micro","Boron","Sufficient",12
"2024-25","Tamil Nadu","33","Kancheepuram","574","Sriperumbudur","6182","Mahanyam (Rf)","629339","Micro","Copper","Deficient",0
"2024-25","Odisha","21","Jagatsinghapur","355","Jagatsinghpur","3389","Kantar","397990","Micro","Manganese","Deficient",0
"2024-25","Andhra Pradesh","28","Vizianagaram","521","Santhakavati","5571","Kondagudem","581264","Macro","Nitrogen","High",0
"2024-25","Haryana","6","Sirsa","74","Baragudha","546","Alikan(176)","60639","Macro","Nitrogen","Low",3
"2023-24","Rajasthan","8","Nagaur","110","Nagaur","748","Barani","82848","Macro","Soil Ph","Alkaline",2
"2023-24","West Bengal","19","Cooch Behar","308","Mathabhanga-I","2852","Bhurkuldanga","307956","Micro","Copper","Deficient",0
"2023-24","Rajasthan","8","Rajsamand","112","Bhim","762","Jalpa","96437","Macro","Nitrogen","High",0
"2023-24","Maharashtra","27","Sangli","493","Atpadi","4549","Khanjodwadi","568586","Macro","Soil Ph","Neutral",5
"2023-24","Gujarat","24","Narmada","452","Garudeshwar","7129","Songam","521375","Micro","Manganese","Deficient",0
"2024-25","Rajasthan","8","Jhunjhunu","106","Chirawa","715","Nari","71279","Micro","Boron","Sufficient",0
"2024-25","West Bengal","19","North 24 Parganas","303","Baduria","2724","Rajbaria","323468","Macro","Phosphorus","High",13
"2024-25","West Bengal","19","Birbhum","307","Dubrajpur","2828","Kapastari","318140","Micro","Iron","Sufficient",4
"2024-25","Rajasthan","8","Tonk","116","Malpura","787","Bheepur","92594","Micro","Iron","Deficient",8
"2023-24","Sikkim","11","Mangan","226","Mangan","2156","Sentam","260939","Macro","Organic Carbon","Low",6
"2023-24","Andhra Pradesh","28","Sri Potti Sriramulu Nellore","515","Kandukur","5471","Vikkiralapeta","591530","Micro","Boron","Sufficient",13
"2023-24","West Bengal","19","Malda","316","Habibpur","2937","Nakail","312935","Micro","Zinc","Deficient",0
"2023-24","Rajasthan","8","Ganganagar","100","Sadulshahar","679","11 Krw","64734","Macro","Phosphorus","Low",0
"2024-25","Rajasthan","8","Banswara","88","Sajjangarh","595","Somaji Para","99700","Macro","Nitrogen","Low",0
"2024-25","Madhya Pradesh","23","Shahdol","429","Sohagpur","3999","Kunar Seja","501334","Macro","Electrical Conductivity","Saline",0
"2024-25","Tamil Nadu","33","Thanjavur","586","Thanjavur","6329","Valampuri Unit","932534","Macro","Soil Ph","Acidic",0
"2024-25","Uttar Pradesh","9","Kushinagar","160","Padrauna","1317","Dharampur Buzurg","188659","Macro","Phosphorus","Medium",50
"2024-25","Uttar Pradesh","9","Farrukhabad","141","Barhpur","1096","Rampur Daferpur","146212","Micro","Boron","Sufficient",197
"2024-25","Tamil Nadu","33","Karur","576","Karur","6200","N.Kadambankurichi","635552","Micro","Sulphur","Sufficient",5
"2023-24","West Bengal","19","Birbhum","307","Suri-Ii","2845","Damdam","317145","Macro","Potassium","High",0
"2023-24","Rajasthan","8","Bhilwara","92","Suwana","630","Suwana","95554","Micro","Iron","Sufficient",22
"2023-24","Andhra Pradesh","28","Chittoor","503","Nagari","4773","Agaram","596387","Micro","Sulphur","Deficient",4
"2024-25","Madhya Pradesh","23","Damoh","400","Damoh","3801","Parasai","462269","Macro","Phosphorus","Medium",5
"2024-25","Rajasthan","8","Tonk","116","Todaraisingh","789","Ramsinghpura","93156","Macro","Organic Carbon","Low",24
"2023-24","Gujarat","24","Jamnagar","447","Jamjodhpur","4124","Mota Vadiya","514122","Micro","Sulphur","Sufficient",8
"2024-25","West Bengal","19","Birbhum","307","Rampurhat-I","2841","Banhat","316368","Micro","Boron","Deficient",29
"2024-25","Rajasthan","8","Banswara","88","Ghatol","592","Badana","98552","Micro","Zinc","Deficient",10
"2023-24","Madhya Pradesh","23","Khargone (West Nimar)","414","Khargone","3896","Kolyapura","477552","Micro","Boron","Deficient",1
"2024-25","West Bengal","19","South 24 Parganas","304","Jaynagar-I","2759","Gumuk Beria","334951","Micro","Copper","Deficient",0
"2023-24","West Bengal","19","North 24 Parganas","303","Haroa","2737","Makhali","323692","Micro","Boron","Deficient",12
"2024-25","Assam","18","Sonitpur","301","Balipara","2703","Tara Bari (A)","286158","Micro","Copper","Deficient",0
"2023-24","Uttar Pradesh","9","Auraiya","122","Sahar","865","Bhahadur Pur Sahar","148350","Macro","Electrical Conductivity","Non Saline",100
"2023-24","Gujarat","24","Gandhinagar","446","Kalol","4120","Pansar","511145","Macro","Phosphorus","Low",0
"2024-25","Madhya Pradesh","23","Rewa","424","Teonthar","3962","Bara Kalan","465077","Micro","Manganese","Sufficient",7
"2024-25","Madhya Pradesh","23","Khargone (West Nimar)","414","Barwah","3891","Sangvi","476770","Macro","Phosphorus","High",0
"2024-25","Gujarat","24","Arvalli","672","Modasa","4227","Rampur (Sinavad)","510770","Micro","Copper","Deficient",0
"2023-24","West Bengal","19","Purba Medinipur","317","Kolaghat","2958","Bara Barisha (P)","344430","Macro","Nitrogen","Low",11
"2024-25","Andhra Pradesh","28","Nandyal","755","Kothapalle","5175","Guvvalakunta","593966","Macro","Phosphorus","High",29
"2024-25","Odisha","21","Mayurbhanj","365","Joshipur","3496","Balijodi","388455","Macro","Potassium","Low",5
"2023-24","Assam","18","Goalpara","287","Rongjuli","2577","Domnapara","282473","Micro","Manganese","Sufficient",0
"2024-25","West Bengal","19","Hooghly","312","Dhaniakhali","2892","Deulpara","324600","Macro","Potassium","Low",0
"2024-25","Madhya Pradesh","23","Betul","394","Betul","3763","Kumhartak","485603","Macro","Phosphorus","High",0
"2024-25","Madhya Pradesh","23","Morena","417","Sabalgarh","3920","Hirapur","452677","Micro","Boron","Deficient",13
"2024-25","Madhya Pradesh","23","Bhopal","396","Berasia","3777","Garenthiya Bazyft","482192","Micro","Manganese","Sufficient",11
"2024-25","Madhya Pradesh","23","Umaria","436","Manpur","4040","Amarpur","467884","Micro","Manganese","Sufficient",26
"2023-24","Bihar","10","Purbi Champaran","213","Ghorasahan","1977","Amwa","217779","Micro","Iron","Deficient",0
"2024-25","Rajasthan","8","Churu","96","Sujangarh","658","Basi Agooni","70786","Macro","Phosphorus","High",0
"2024-25","West Bengal","19","Jhargram","703","Binpur-I","2972","Baratilabani","336015","Macro","Soil Ph","Alkaline",0
"2023-24","West Bengal","19","Nadia","320","Nakashipara","3038","Chak Shukpukuria","321445","Micro","Zinc","Sufficient",4
"2023-24","West Bengal","19","Purba Medinipur","317","Panskura-I","2964","Chaugere","344334","Micro","Zinc","Deficient",1
"2024-25","Rajasthan","8","Alwar","87","Govindgarh","7397","Nyana","73486","Micro","Sulphur","Sufficient",30
"2024-25","Gujarat","24","Mahisagar","669","Kadana","4188","Vachhalawada","517872","Micro","Manganese","Deficient",0
"2024-25","Bihar","10","Saharsa","216","Sour Bazar","2038","Bhada","226489","Macro","Soil Ph","Alkaline",0
"2023-24","West Bengal","19","Birbhum","307","Nanoor","2839","Ramkrishnapur","317687","Macro","Phosphorus","Medium",5
"2024-25","Gujarat","24","Mahesana","451","Satlasna","4170","Chelana","509123","Micro","Boron","Deficient",7
"2024-25","Uttar Pradesh","9","Bahraich","125","Mihinpurwa","900","Songawa","171274","Macro","Soil Ph","Acidic",0
"2024-25","Andhra Pradesh","28","Eluru","748","Koyyalagudem","5728","Kuntalagudem","588165","Micro","Zinc","Sufficient",1
"2024-25","Andhra Pradesh","28","Alluri Sitharama Raju","745","Chintoor","5062","Vegithota","579191","Macro","Phosphorus","High",7
"2024-25","Bihar","10","Vaishali","224","Chehrakala","2139","Rampur Dumri","235064","Macro","Soil Ph","Neutral",8
"2024-25","Madhya Pradesh","23","Mandsaur","416","Bhanpura","3909","Nayagaon","935215","Macro","Phosphorus","High",4
"2024-25","West Bengal","19","Nadia","320","Chapra","3028","Brittihuda","321557","Macro","Potassium","Low",7
"2023-24","Bihar","10","Madhubani","206","Laukaha (Khutauna)","1861","Bela","220009","Macro","Electrical Conductivity","Non Saline",58
"2024-25","Maharashtra","27","Nashik","487","Trimbak","4492","Metkawara","550892","Micro","Zinc","Sufficient",0
"2024-25","West Bengal","19","Jhargram","703","Jambani","2987","Bijrabandh","340120","Macro","Electrical Conductivity","Non Saline",3
"2024-25","Gujarat","24","Bharuch","442","Vagra","4097","Vav","522039","Micro","Boron","Sufficient",4
"2024-25","Rajasthan","8","Bikaner","93","Lunkaransar","633","Loonkaransar","69286","Macro","Phosphorus","Low",0
"2024-25","Rajasthan","8","Deeg","767","Kumher","614","Dandoo","74555","Macro","Potassium","Medium",34
"2024-25","Rajasthan","8","Bundi","94","Nainwa","638","Rajlawata","93881","Macro","Electrical Conductivity","Non Saline",20
"2024-25","Uttar Pradesh","9","Unnao","186","Bighapur","1604","Belhadyal Ganj","142743","Micro","Sulphur","Sufficient",100
"2023-24","Andhra Pradesh","28","Krishna","510","Movva","5125","Avurupudi","589680","Macro","Electrical Conductivity","Non Saline",30
"2024-25","Odisha","21","Kendujhar","361","Harichadanpur","3448","Kaberiposi","386487","Macro","Phosphorus","Medium",18
